round,maintenance_ms,recall,live,used_slabs
0,0.0,0.9997,200000,200000
1,442.062,0.9996,200000,202000
2,427.484,0.9996,200000,204000
3,437.033,0.9997,200000,206000
4,376.185,0.9997,200000,208000
5,423.981,0.9996,200000,210000
6,399.308,0.9997,200000,212000
7,393.529,0.9996,200000,214000
8,407.348,0.9996,200000,216000
9,367.559,0.9998,200000,218000
10,403.859,0.9998,200000,220000
11,431.195,0.9998,200000,222000
12,425.655,0.9998,200000,224000
13,460.323,0.9999,200000,226000
14,446.181,0.9999,200000,228000
15,448.99,0.9998,200000,230000
16,445.162,0.9998,200000,232000
17,449.436,0.9997,200000,234000
18,469.865,0.9998,200000,236000
19,444.581,0.9999,200000,238000
20,465.335,1,200000,240000
21,455.748,1,200000,242000
22,499.327,1,200000,244000
23,506.58,1,200000,246000
24,458.583,1,200000,248000
25,475.616,1,200000,250000
26,482.678,1,200000,252000
27,482.524,1,200000,254000
28,465.997,1,200000,256000
29,500.851,1,200000,258000
30,500.91,1,200000,260000
31,479.939,1,200000,262000
32,524.913,1,200000,264000
33,528.024,0.9997,200000,266000
